标的代码,市场,策略ID,周期,方向,入场时间(UTC),出场时间(UTC),入场价,出场价,收益率,持仓K线数,模型概率,回归预测,短周期预测,综合评分
CRWD,美股,MOM_SWING,1d,做空,2025-07-17T00:00:00.000Z,2025-07-21T00:00:00.000Z,481.6459170173758,500.0508438623593,-0.03981256693912661,2,0.1845759875868199,-0.0009623124279436455,-0.0009999578439319268,0.5932037883610387
UNH,美股,MOM_SWING,1d,做空,2025-07-18T00:00:00.000Z,2025-07-23T00:00:00.000Z,431.8108743904707,447.01307385452367,-0.036805689262716844,3,0.19153823796267502,-0.0011482905259700504,-0.0013076826342327545,0.5896787928746344
RIVN,美股,US_BETA,1d,做空,2025-07-21T00:00:00.000Z,2025-07-22T00:00:00.000Z,16.6257116741957,17.253908405030707,-0.039984652058534985,1,0.1832056788395621,-0.002699116144445537,0.000380390978475835,0.6074848403910796
APP,美股,US_BETA,1d,做空,2025-07-25T00:00:00.000Z,2025-07-29T00:00:00.000Z,243.4883674406334,253.23073650554002,-0.04221164066813985,2,0.18197113047668828,-0.0013416521067590172,-0.00045770944079414976,0.5975140029108567
BTCUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-07-27T00:00:00.000Z,2025-08-01T00:00:00.000Z,118572.24371760986,112889.60221760334,0.03434417202018348,5,0.1924686836624943,-0.0009828033900650312,-0.00038298367819975817,0.5876849748835242
BILL,美股,US_BETA,1d,做空,2025-07-29T00:00:00.000Z,2025-07-31T00:00:00.000Z,62.49597326205051,60.227613147006906,0.026671897980904045,2,0.17834417225061872,-0.002602136518277949,-0.0008597458784549739,0.6102092881257781
CAVA,美股,US_BETA,1d,做空,2025-07-29T00:00:00.000Z,2025-07-30T00:00:00.000Z,78.73228586756828,81.38329026218544,-0.035871121896248324,1,0.1798028253862586,-0.001390536221475686,-0.0010514525330604688,0.5994662554936993
CAVA,美股,MOM_FAST,1d,做空,2025-07-29T00:00:00.000Z,2025-07-30T00:00:00.000Z,78.73228586756828,81.85111456711789,-0.041413084583821674,1,0.1798028253862586,-0.001390536221475686,-0.0010514525330604688,0.5998662554936992
APP,美股,US_BETA,1d,做空,2025-07-29T00:00:00.000Z,2025-07-31T00:00:00.000Z,241.81001350457583,251.37201962124632,-0.041743466286145114,2,0.18582871905449772,-0.0010645605462610305,-0.0009819330874694659,0.5925198066508499
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-08-02T00:00:00.000Z,2025-08-04T00:00:00.000Z,3163.883348190896,3314.1501380869527,-0.04949441536205153,2,0.18161598512545168,0.0007630716710464337,0.00035708203953055157,0.5811319173413033
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-08-02T00:00:00.000Z,2025-08-04T00:00:00.000Z,3163.883348190896,3330.8464480754033,-0.05457157262450165,2,0.18161598512545168,0.0007630716710464337,0.00035708203953055157,0.5813319173413033
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-08-02T00:00:00.000Z,2025-08-04T00:00:00.000Z,3163.883348190896,3364.239068052305,-0.06492588714940203,2,0.18161598512545168,0.0007630716710464337,0.00035708203953055157,0.5815319173413033
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-08-02T00:00:00.000Z,2025-08-04T00:00:00.000Z,3160.8134636021464,3309.165046864216,-0.04893462141008609,2,0.18129349201075828,0.0006969353444087056,0.00035517200852713907,0.5818932029969843
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-08-02T00:00:00.000Z,2025-08-04T00:00:00.000Z,3160.8134636021464,3325.648556115557,-0.05394957934454002,2,0.18129349201075828,0.0006969353444087056,0.00035517200852713907,0.5820932029969843
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-08-05T00:00:00.000Z,2025-08-07T00:00:00.000Z,3366.982869103852,3520.27491853848,-0.047528015851006675,2,0.20472680126745574,-0.003244447606888355,0.00047292035119755177,0.5965522839425388
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-08-05T00:00:00.000Z,2025-08-07T00:00:00.000Z,3366.982869103852,3537.307368475661,-0.052386684278896305,2,0.20472680126745574,-0.003244447606888355,0.00047292035119755177,0.5967522839425388
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-08-05T00:00:00.000Z,2025-08-07T00:00:00.000Z,3366.982869103852,3571.3722683500228,-0.06230402113467556,2,0.20472680126745574,-0.003244447606888355,0.00047292035119755177,0.5969522839425387
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-08-05T00:00:00.000Z,2025-08-07T00:00:00.000Z,3363.895127943026,3515.5485132541107,-0.047082673372109085,2,0.2042005968514335,-0.0033389200241910515,0.0004687059719943703,0.5976869304604961
